"math.3"	"math.1"	"gender"	"social.class"	"school.id"	"normal.score.3"	"normal.score.1"
"37"	20	12	"girl"	"manual"	"4"	-1.40267	-1.82051
"38"	13	7	"girl"	"manual"	"4"	-2.05545	-2.86875
"39"	25	28	"boy"	"manual"	"4"	-0.8897	0.19052
"40"	21	21	"girl"	"manual"	"4"	-1.29576	-0.72731
"41"	38	37	"boy"	"manual"	"4"	1.411941	1.794068
"42"	24	20	"girl"	"manual"	"4"	-0.99434	-0.85693
"43"	14	11	"boy"	"manual"	"4"	-1.89802	-2.04142
"44"	26	21	"girl"	"manual"	"4"	-0.81301	-0.72731
"45"	34	30	"girl"	"manual"	"4"	0.340451	0.454143
"46"	33	21	"boy"	"manual"	"4"	0.162541	-0.72731
"47"	36	23	"boy"	"manual"	"4"	0.743105	-0.45987
"48"	35	23	"boy"	"manual"	"4"	0.516121	-0.45987
"49"	34	28	"girl"	"manual"	"4"	0.340451	0.19052
"50"	33	29	"girl"	"manual"	"4"	0.162541	0.315018
"51"	25	12	"boy"	"manual"	"5"	-0.8897	-1.82051
"52"	33	26	"boy"	"manual"	"5"	0.162541	-0.04477
"53"	36	30	"girl"	"nonmanual"	"5"	0.743105	0.454143
"54"	31	25	"boy"	"nonmanual"	"5"	-0.21688	-0.18176
"55"	25	20	"girl"	"manual"	"5"	-0.8897	-0.85693
"56"	37	34	"girl"	"nonmanual"	"5"	1.061502	1.170603
"57"	23	18	"boy"	"nonmanual"	"5"	-1.08291	-1.10483
"58"	34	32	"girl"	"nonmanual"	"5"	0.340451	0.817817
"59"	36	33	"girl"	"nonmanual"	"5"	0.743105	0.988715
"60"	30	25	"boy"	"manual"	"5"	-0.37163	-0.18176
"61"	33	31	"girl"	"nonmanual"	"5"	0.162541	0.638187
"62"	32	29	"boy"	"nonmanual"	"5"	-0.04132	0.315018
"63"	21	25	"girl"	"manual"	"5"	-1.29576	-0.18176
"64"	34	31	"girl"	"manual"	"5"	0.340451	0.638187
"65"	38	37	"boy"	"nonmanual"	"5"	1.411941	1.794068
"66"	36	26	"boy"	"nonmanual"	"5"	0.743105	-0.04477
"67"	36	35	"girl"	"manual"	"5"	0.743105	1.340924
"68"	37	35	"girl"	"nonmanual"	"5"	1.061502	1.340924
"69"	34	30	"girl"	"nonmanual"	"5"	0.340451	0.454143
"70"	28	33	"girl"	"nonmanual"	"5"	-0.65516	0.988715
"71"	30	28	"boy"	"nonmanual"	"5"	-0.37163	0.19052
"72"	37	31	"boy"	"nonmanual"	"5"	1.061502	0.638187
"73"	36	40	"boy"	"nonmanual"	"5"	0.743105	2.589361
"74"	28	21	"girl"	"manual"	"6"	-0.65516	-0.72731
"75"	31	26	"boy"	"manual"	"6"	-0.21688	-0.04477
"76"	30	24	"girl"	"manual"	"6"	-0.37163	-0.3277
"77"	37	29	"boy"	"manual"	"6"	1.061502	0.315018
"78"	32	32	"girl"	"manual"	"6"	-0.04132	0.817817
"79"	36	30	"boy"	"manual"	"6"	0.743105	0.454143
"80"	40	33	"boy"	"manual"	"6"	2.429734	0.988715
"81"	36	31	"girl"	"manual"	"6"	0.743105	0.638187
"82"	30	28	"boy"	"manual"	"6"	-0.37163	0.19052
"83"	22	23	"boy"	"manual"	"6"	-1.17746	-0.45987
"84"	37	31	"boy"	"manual"	"7"	1.061502	0.638187
"85"	37	17	"girl"	"manual"	"7"	1.061502	-1.20903
"86"	38	31	"girl"	"nonmanual"	"7"	1.411941	0.638187
"87"	21	9	"girl"	"manual"	"7"	-1.29576	-2.31515
"88"	30	23	"boy"	"manual"	"8"	-0.37163	-0.45987
"89"	27	20	"girl"	"manual"	"8"	-0.74993	-0.85693
"90"	33	30	"boy"	"manual"	"8"	0.162541	0.454143
"91"	31	22	"girl"	"manual"	"8"	-0.21688	-0.58831
"92"	29	31	"boy"	"manual"	"8"	-0.53192	0.638187
"93"	35	28	"girl"	"manual"	"8"	0.516121	0.19052
"94"	37	23	"boy"	"manual"	"8"	1.061502	-0.45987
"95"	33	30	"girl"	"manual"	"8"	0.162541	0.454143
"96"	35	34	"boy"	"nonmanual"	"8"	0.516121	1.170603
"97"	25	30	"girl"	"manual"	"8"	-0.8897	0.454143
"98"	30	22	"girl"	"manual"	"8"	-0.37163	-0.58831
"99"	21	22	"boy"	"nonmanual"	"8"	-1.29576	-0.58831
"100"	32	25	"girl"	"manual"	"8"	-0.04132	-0.18176
"101"	23	18	"girl"	"manual"	"8"	-1.08291	-1.10483
"102"	38	35	"girl"	"manual"	"8"	1.411941	1.340924
"103"	34	29	"boy"	"nonmanual"	"8"	0.340451	0.315018
"104"	18	13	"girl"	"manual"	"8"	-1.55685	-1.67769
"105"	33	28	"girl"	"manual"	"8"	0.162541	0.19052
"106"	32	26	"boy"	"manual"	"9"	-0.04132	-0.04477
"107"	37	39	"girl"	"nonmanual"	"9"	1.061502	2.149517
"108"	35	33	"girl"	"manual"	"9"	0.516121	0.988715
"109"	36	33	"girl"	"nonmanual"	"9"	0.743105	0.988715
"110"	37	37	"girl"	"nonmanual"	"9"	1.061502	1.794068
"111"	39	36	"boy"	"nonmanual"	"9"	1.802743	1.551093
"112"	37	33	"boy"	"nonmanual"	"9"	1.061502	0.988715
"113"	38	36	"boy"	"nonmanual"	"9"	1.411941	1.551093
"114"	17	11	"boy"	"nonmanual"	"9"	-1.63037	-2.04142
"115"	32	24	"boy"	"manual"	"9"	-0.04132	-0.3277
"116"	30	30	"boy"	"manual"	"9"	-0.37163	0.454143
"117"	31	23	"boy"	"nonmanual"	"9"	-0.21688	-0.45987
"118"	34	26	"girl"	"manual"	"9"	0.340451	-0.04477
"119"	38	33	"boy"	"nonmanual"	"9"	1.411941	0.988715
"120"	38	34	"boy"	"nonmanual"	"9"	1.411941	1.170603
"121"	28	25	"girl"	"nonmanual"	"9"	-0.65516	-0.18176
"122"	32	29	"girl"	"nonmanual"	"9"	-0.04132	0.315018
"123"	22	18	"girl"	"manual"	"9"	-1.17746	-1.10483
"124"	18	13	"boy"	"nonmanual"	"9"	-1.55685	-1.67769
"125"	22	16	"boy"	"nonmanual"	"9"	-1.17746	-1.28783
"126"	32	26	"boy"	"nonmanual"	"11"	-0.04132	-0.04477
"127"	30	28	"boy"	"nonmanual"	"11"	-0.37163	0.19052
"128"	15	21	"boy"	"manual"	"11"	-1.76065	-0.72731
"129"	35	25	"girl"	"nonmanual"	"11"	0.516121	-0.18176
"130"	24	22	"boy"	"nonmanual"	"11"	-0.99434	-0.58831
"131"	31	29	"girl"	"nonmanual"	"11"	-0.21688	0.315018
"132"	33	23	"girl"	"manual"	"11"	0.162541	-0.45987
"133"	38	31	"boy"	"manual"	"11"	1.411941	0.638187
"134"	29	26	"boy"	"manual"	"11"	-0.53192	-0.04477
"135"	34	28	"girl"	"manual"	"12"	0.340451	0.19052
"136"	15	9	"boy"	"manual"	"12"	-1.76065	-2.31515
"137"	34	25	"girl"	"manual"	"12"	0.340451	-0.18176
"138"	37	32	"boy"	"manual"	"12"	1.061502	0.817817
"139"	32	34	"boy"	"nonmanual"	"12"	-0.04132	1.170603
"140"	38	39	"girl"	"nonmanual"	"12"	1.411941	2.149517
"141"	39	36	"girl"	"manual"	"12"	1.802743	1.551093
"142"	21	26	"boy"	"nonmanual"	"12"	-1.29576	-0.04477
"143"	36	29	"girl"	"nonmanual"	"12"	0.743105	0.315018
"144"	27	21	"girl"	"manual"	"12"	-0.74993	-0.72731
"145"	27	23	"boy"	"nonmanual"	"12"	-0.74993	-0.45987
"146"	37	28	"girl"	"manual"	"12"	1.061502	0.19052
"147"	33	28	"girl"	"manual"	"12"	0.162541	0.19052
"148"	24	28	"girl"	"nonmanual"	"12"	-0.99434	0.19052
"149"	14	14	"boy"	"manual"	"12"	-1.89802	-1.52304
"150"	25	21	"boy"	"manual"	"12"	-0.8897	-0.72731
"151"	32	22	"boy"	"manual"	"12"	-0.04132	-0.58831
"152"	38	32	"girl"	"manual"	"12"	1.411941	0.817817
"153"	20	16	"boy"	"manual"	"12"	-1.40267	-1.28783
"154"	30	31	"girl"	"manual"	"13"	-0.37163	0.638187
"155"	28	34	"girl"	"manual"	"13"	-0.65516	1.170603
"156"	33	33	"girl"	"manual"	"13"	0.162541	0.988715
"157"	31	25	"girl"	"manual"	"13"	-0.21688	-0.18176
"158"	36	21	"boy"	"manual"	"13"	0.743105	-0.72731
"159"	10	21	"girl"	"manual"	"13"	-2.46408	-0.72731
"160"	13	20	"boy"	"manual"	"13"	-2.05545	-0.85693
"161"	29	25	"girl"	"manual"	"13"	-0.53192	-0.18176
"162"	20	23	"girl"	"nonmanual"	"13"	-1.40267	-0.45987
"163"	29	27	"girl"	"nonmanual"	"13"	-0.53192	0.072369
"164"	38	35	"boy"	"manual"	"13"	1.411941	1.340924
"165"	33	27	"girl"	"manual"	"13"	0.162541	0.072369
"166"	35	24	"boy"	"manual"	"13"	0.516121	-0.3277
"167"	32	20	"boy"	"nonmanual"	"13"	-0.04132	-0.85693
"168"	37	14	"girl"	"manual"	"13"	1.061502	-1.52304
"169"	21	14	"boy"	"manual"	"13"	-1.29576	-1.52304
"170"	36	26	"girl"	"nonmanual"	"13"	0.743105	-0.04477
"171"	24	15	"boy"	"manual"	"13"	-0.99434	-1.38448
"172"	30	30	"girl"	"manual"	"14"	-0.37163	0.454143
"173"	22	19	"boy"	"manual"	"14"	-1.17746	-0.98033
"174"	26	15	"boy"	"manual"	"14"	-0.81301	-1.38448
"175"	30	25	"boy"	"manual"	"14"	-0.37163	-0.18176
"176"	36	38	"girl"	"nonmanual"	"15"	0.743105	1.964686
"177"	37	29	"boy"	"manual"	"15"	1.061502	0.315018
"178"	36	37	"girl"	"nonmanual"	"15"	0.743105	1.794068
"179"	37	34	"girl"	"nonmanual"	"15"	1.061502	1.170603
"180"	36	24	"girl"	"manual"	"15"	0.743105	-0.3277
"181"	32	30	"boy"	"manual"	"16"	-0.04132	0.454143
"182"	28	23	"girl"	"manual"	"16"	-0.65516	-0.45987
"183"	31	27	"boy"	"manual"	"16"	-0.21688	0.072369
"184"	37	22	"girl"	"manual"	"16"	1.061502	-0.58831
"185"	23	18	"girl"	"manual"	"16"	-1.08291	-1.10483
"186"	38	27	"boy"	"nonmanual"	"16"	1.411941	0.072369
"187"	30	22	"boy"	"manual"	"16"	-0.37163	-0.58831
"188"	26	27	"boy"	"manual"	"16"	-0.81301	0.072369
"189"	17	14	"girl"	"manual"	"16"	-1.63037	-1.52304
"190"	8	12	"boy"	"manual"	"16"	-2.77651	-1.82051
"191"	13	8	"boy"	"manual"	"16"	-2.05545	-2.54304
"192"	30	22	"boy"	"manual"	"16"	-0.37163	-0.58831
"193"	38	39	"boy"	"nonmanual"	"17"	1.411941	2.149517
"194"	32	23	"girl"	"manual"	"17"	-0.04132	-0.45987
"195"	26	20	"girl"	"manual"	"17"	-0.81301	-0.85693
"196"	35	36	"boy"	"nonmanual"	"18"	0.516121	1.551093
"197"	20	14	"boy"	"manual"	"18"	-1.40267	-1.52304
"198"	26	22	"boy"	"manual"	"18"	-0.81301	-0.58831
"199"	36	30	"girl"	"manual"	"18"	0.743105	0.454143
"200"	38	34	"girl"	"nonmanual"	"18"	1.411941	1.170603
"201"	25	22	"girl"	"manual"	"18"	-0.8897	-0.58831
"202"	29	24	"girl"	"manual"	"18"	-0.53192	-0.3277
"203"	33	32	"boy"	"nonmanual"	"18"	0.162541	0.817817
"204"	30	25	"girl"	"manual"	"18"	-0.37163	-0.18176
"205"	21	24	"girl"	"manual"	"18"	-1.29576	-0.3277
"206"	38	35	"girl"	"manual"	"18"	1.411941	1.340924
"207"	31	32	"girl"	"manual"	"18"	-0.21688	0.817817
"208"	29	17	"boy"	"manual"	"18"	-0.53192	-1.20903
"209"	33	15	"girl"	"manual"	"19"	0.162541	-1.38448
"210"	34	30	"boy"	"manual"	"19"	0.340451	0.454143
"211"	25	13	"boy"	"manual"	"19"	-0.8897	-1.67769
"212"	38	18	"boy"	"nonmanual"	"19"	1.411941	-1.10483
"213"	35	35	"boy"	"manual"	"19"	0.516121	1.340924
"214"	30	15	"girl"	"manual"	"19"	-0.37163	-1.38448
"215"	32	19	"boy"	"manual"	"19"	-0.04132	-0.98033
"216"	31	26	"girl"	"nonmanual"	"19"	-0.21688	-0.04477
"217"	32	22	"girl"	"manual"	"19"	-0.04132	-0.58831
"218"	33	26	"girl"	"manual"	"19"	0.162541	-0.04477
"219"	37	36	"girl"	"manual"	"19"	1.061502	1.551093
"220"	30	28	"girl"	"manual"	"19"	-0.37163	0.19052
"221"	27	25	"boy"	"manual"	"19"	-0.74993	-0.18176
"222"	35	30	"boy"	"manual"	"20"	0.516121	0.454143
"223"	32	26	"boy"	"manual"	"20"	-0.04132	-0.04477
"224"	37	37	"girl"	"nonmanual"	"20"	1.061502	1.794068
"225"	32	30	"boy"	"nonmanual"	"20"	-0.04132	0.454143
"226"	14	25	"boy"	"manual"	"20"	-1.89802	-0.18176
"227"	28	26	"girl"	"manual"	"20"	-0.65516	-0.04477
"228"	28	25	"boy"	"nonmanual"	"20"	-0.65516	-0.18176
"229"	30	27	"girl"	"manual"	"21"	-0.37163	0.072369
"230"	33	30	"boy"	"manual"	"21"	0.162541	0.454143
"231"	27	22	"girl"	"nonmanual"	"21"	-0.74993	-0.58831
"232"	31	16	"boy"	"nonmanual"	"21"	-0.21688	-1.28783
"233"	27	28	"boy"	"manual"	"21"	-0.74993	0.19052
"234"	24	20	"girl"	"manual"	"21"	-0.99434	-0.85693
"235"	24	14	"girl"	"manual"	"21"	-0.99434	-1.52304
"236"	30	25	"boy"	"manual"	"21"	-0.37163	-0.18176
"237"	21	21	"boy"	"manual"	"21"	-1.29576	-0.72731
"238"	28	24	"boy"	"manual"	"21"	-0.65516	-0.3277
"239"	24	16	"girl"	"manual"	"21"	-0.99434	-1.28783
"240"	34	31	"girl"	"manual"	"21"	0.340451	0.638187
"241"	15	18	"boy"	"manual"	"21"	-1.76065	-1.10483
"242"	18	16	"boy"	"manual"	"21"	-1.55685	-1.28783
"243"	23	17	"girl"	"manual"	"21"	-1.08291	-1.20903
"244"	29	28	"boy"	"manual"	"21"	-0.53192	0.19052
"245"	23	18	"girl"	"manual"	"21"	-1.08291	-1.10483
"246"	36	29	"boy"	"nonmanual"	"21"	0.743105	0.315018
"247"	24	16	"girl"	"manual"	"21"	-0.99434	-1.28783
"248"	22	21	"boy"	"manual"	"21"	-1.17746	-0.72731
"249"	31	18	"boy"	"manual"	"21"	-0.21688	-1.10483
"250"	29	25	"boy"	"manual"	"21"	-0.53192	-0.18176
"251"	34	29	"girl"	"manual"	"22"	0.340451	0.315018
"252"	38	39	"girl"	"nonmanual"	"22"	1.411941	2.149517
"253"	35	32	"boy"	"manual"	"22"	0.516121	0.817817
"254"	34	32	"boy"	"nonmanual"	"22"	0.340451	0.817817
"255"	27	23	"girl"	"nonmanual"	"22"	-0.74993	-0.45987
"256"	27	23	"boy"	"manual"	"22"	-0.74993	-0.45987
"257"	25	24	"boy"	"manual"	"22"	-0.8897	-0.3277
"258"	29	27	"boy"	"manual"	"22"	-0.53192	0.072369
"259"	25	23	"boy"	"manual"	"22"	-0.8897	-0.45987
"260"	40	34	"girl"	"manual"	"23"	2.429734	1.170603
"261"	28	18	"boy"	"nonmanual"	"23"	-0.65516	-1.10483
"262"	25	28	"boy"	"manual"	"23"	-0.8897	0.19052
"263"	35	29	"boy"	"manual"	"23"	0.516121	0.315018
"264"	32	31	"boy"	"manual"	"23"	-0.04132	0.638187
"265"	40	36	"boy"	"manual"	"23"	2.429734	1.551093
"266"	37	33	"boy"	"nonmanual"	"23"	1.061502	0.988715
"267"	28	28	"boy"	"nonmanual"	"23"	-0.65516	0.19052
"268"	34	26	"girl"	"manual"	"23"	0.340451	-0.04477
"269"	35	25	"boy"	"nonmanual"	"24"	0.516121	-0.18176
"270"	32	15	"girl"	"manual"	"24"	-0.04132	-1.38448
"271"	34	21	"boy"	"manual"	"24"	0.340451	-0.72731
"272"	37	35	"boy"	"nonmanual"	"24"	1.061502	1.340924
"273"	37	31	"girl"	"nonmanual"	"24"	1.061502	0.638187
"274"	36	31	"boy"	"manual"	"24"	0.743105	0.638187
"275"	27	20	"boy"	"manual"	"24"	-0.74993	-0.85693
"276"	37	34	"girl"	"manual"	"24"	1.061502	1.170603
"277"	33	27	"boy"	"manual"	"24"	0.162541	0.072369
"278"	37	35	"girl"	"nonmanual"	"24"	1.061502	1.340924
"279"	36	20	"girl"	"manual"	"24"	0.743105	-0.85693
"280"	23	12	"girl"	"manual"	"24"	-1.08291	-1.82051
"281"	31	18	"girl"	"manual"	"24"	-0.21688	-1.10483
"282"	31	22	"girl"	"manual"	"24"	-0.21688	-0.58831
"283"	36	26	"boy"	"manual"	"24"	0.743105	-0.04477
"284"	29	26	"girl"	"manual"	"24"	-0.53192	-0.04477
"285"	38	31	"girl"	"manual"	"24"	1.411941	0.638187
"286"	32	25	"girl"	"nonmanual"	"25"	-0.04132	-0.18176
"287"	39	36	"girl"	"nonmanual"	"25"	1.802743	1.551093
"288"	30	24	"boy"	"manual"	"25"	-0.37163	-0.3277
"289"	33	27	"boy"	"nonmanual"	"25"	0.162541	0.072369
"290"	29	30	"boy"	"manual"	"25"	-0.53192	0.454143
"291"	32	31	"boy"	"manual"	"25"	-0.04132	0.638187
"292"	36	31	"girl"	"manual"	"26"	0.743105	0.638187
"293"	35	20	"girl"	"manual"	"26"	0.516121	-0.85693
"294"	34	30	"boy"	"manual"	"26"	0.340451	0.454143
"295"	37	29	"boy"	"manual"	"26"	1.061502	0.315018
"296"	24	15	"boy"	"manual"	"26"	-0.99434	-1.38448
"297"	33	30	"boy"	"manual"	"26"	0.162541	0.454143
"298"	11	11	"boy"	"manual"	"26"	-2.29074	-2.04142
"299"	37	32	"girl"	"manual"	"26"	1.061502	0.817817
"300"	33	25	"girl"	"manual"	"26"	0.162541	-0.18176
"301"	26	22	"boy"	"manual"	"26"	-0.81301	-0.58831
"302"	39	33	"girl"	"manual"	"26"	1.802743	0.988715
"303"	29	25	"girl"	"manual"	"26"	-0.53192	-0.18176
"304"	37	31	"girl"	"manual"	"26"	1.061502	0.638187
"305"	36	34	"boy"	"manual"	"26"	0.743105	1.170603
"306"	33	24	"girl"	"manual"	"26"	0.162541	-0.3277
"307"	35	32	"girl"	"manual"	"26"	0.516121	0.817817
"308"	30	33	"boy"	"manual"	"26"	-0.37163	0.988715
"309"	18	17	"boy"	"manual"	"26"	-1.55685	-1.20903
"310"	33	22	"girl"	"nonmanual"	"27"	0.162541	-0.58831
"311"	29	19	"boy"	"manual"	"27"	-0.53192	-0.98033
"312"	30	25	"girl"	"manual"	"27"	-0.37163	-0.18176
"313"	31	28	"boy"	"nonmanual"	"27"	-0.21688	0.19052
"314"	14	18	"girl"	"manual"	"27"	-1.89802	-1.10483
"315"	36	28	"boy"	"manual"	"27"	0.743105	0.19052
"316"	23	23	"boy"	"manual"	"27"	-1.08291	-0.45987
"317"	33	20	"girl"	"nonmanual"	"27"	0.162541	-0.85693
"318"	33	23	"boy"	"nonmanual"	"27"	0.162541	-0.45987
"319"	31	25	"boy"	"manual"	"27"	-0.21688	-0.18176
"320"	39	27	"girl"	"manual"	"27"	1.802743	0.072369
"321"	32	22	"boy"	"nonmanual"	"27"	-0.04132	-0.58831
"322"	32	26	"boy"	"manual"	"27"	-0.04132	-0.04477
"323"	21	19	"girl"	"manual"	"27"	-1.29576	-0.98033
"324"	29	18	"girl"	"nonmanual"	"27"	-0.53192	-1.10483
"325"	39	36	"girl"	"manual"	"27"	1.802743	1.551093
"326"	28	24	"boy"	"manual"	"27"	-0.65516	-0.3277
"327"	37	30	"boy"	"manual"	"27"	1.061502	0.454143
"328"	14	13	"girl"	"manual"	"28"	-1.89802	-1.67769
"329"	14	11	"girl"	"manual"	"28"	-1.89802	-2.04142
"330"	22	16	"girl"	"manual"	"28"	-1.17746	-1.28783
"331"	39	25	"girl"	"manual"	"28"	1.802743	-0.18176
"332"	21	24	"girl"	"nonmanual"	"28"	-1.29576	-0.3277
"333"	25	12	"girl"	"nonmanual"	"28"	-0.8897	-1.82051
"334"	27	11	"boy"	"nonmanual"	"28"	-0.74993	-2.04142
"335"	22	27	"boy"	"manual"	"28"	-1.17746	0.072369
"336"	37	29	"boy"	"manual"	"28"	1.061502	0.315018
"337"	29	26	"girl"	"manual"	"28"	-0.53192	-0.04477
"338"	39	29	"girl"	"nonmanual"	"28"	1.802743	0.315018
"339"	29	23	"boy"	"manual"	"29"	-0.53192	-0.45987
"340"	36	32	"girl"	"manual"	"29"	0.743105	0.817817
"341"	29	19	"girl"	"manual"	"29"	-0.53192	-0.98033
"342"	32	22	"girl"	"nonmanual"	"29"	-0.04132	-0.58831
"343"	20	19	"boy"	"manual"	"29"	-1.40267	-0.98033
"344"	28	28	"girl"	"manual"	"29"	-0.65516	0.19052
"345"	29	24	"boy"	"nonmanual"	"29"	-0.53192	-0.3277
"346"	29	31	"boy"	"manual"	"29"	-0.53192	0.638187
"347"	14	17	"boy"	"manual"	"29"	-1.89802	-1.20903
"348"	33	24	"boy"	"manual"	"29"	0.162541	-0.3277
"349"	24	19	"girl"	"nonmanual"	"29"	-0.99434	-0.98033
"350"	29	21	"boy"	"manual"	"29"	-0.53192	-0.72731
"351"	38	33	"girl"	"nonmanual"	"30"	1.411941	0.988715
"352"	35	23	"girl"	"nonmanual"	"30"	0.516121	-0.45987
"353"	37	29	"boy"	"nonmanual"	"30"	1.061502	0.315018
"354"	31	8	"boy"	"manual"	"30"	-0.21688	-2.54304
"355"	27	22	"girl"	"manual"	"30"	-0.74993	-0.58831
"356"	25	19	"girl"	"manual"	"30"	-0.8897	-0.98033
"357"	32	27	"boy"	"manual"	"30"	-0.04132	0.072369
"358"	30	22	"girl"	"manual"	"30"	-0.37163	-0.58831
"359"	18	13	"boy"	"nonmanual"	"30"	-1.55685	-1.67769
"360"	36	28	"boy"	"nonmanual"	"30"	0.743105	0.19052
"361"	37	34	"girl"	"manual"	"30"	1.061502	1.170603
"362"	38	28	"girl"	"manual"	"30"	1.411941	0.19052
"363"	32	30	"girl"	"manual"	"30"	-0.04132	0.454143
"364"	35	30	"girl"	"nonmanual"	"30"	0.516121	0.454143
"365"	32	29	"girl"	"manual"	"30"	-0.04132	0.315018
"366"	35	27	"girl"	"nonmanual"	"30"	0.516121	0.072369
"367"	34	33	"girl"	"nonmanual"	"30"	0.340451	0.988715
"368"	29	20	"boy"	"nonmanual"	"30"	-0.53192	-0.85693
"369"	35	25	"boy"	"nonmanual"	"30"	0.516121	-0.18176
"370"	11	12	"girl"	"manual"	"30"	-2.29074	-1.82051
"371"	25	25	"boy"	"manual"	"30"	-0.8897	-0.18176
"372"	39	18	"boy"	"manual"	"31"	1.802743	-1.10483
"373"	39	35	"boy"	"nonmanual"	"31"	1.802743	1.340924
"374"	37	29	"boy"	"nonmanual"	"31"	1.061502	0.315018
"375"	39	32	"boy"	"nonmanual"	"31"	1.802743	0.817817
"376"	36	28	"girl"	"manual"	"31"	0.743105	0.19052
"377"	35	25	"girl"	"manual"	"31"	0.516121	-0.18176
"378"	30	24	"girl"	"nonmanual"	"31"	-0.37163	-0.3277
"379"	35	33	"boy"	"nonmanual"	"31"	0.516121	0.988715
"380"	37	35	"boy"	"nonmanual"	"31"	1.061502	1.340924
"381"	34	20	"girl"	"manual"	"31"	0.340451	-0.85693
"382"	30	20	"girl"	"manual"	"31"	-0.37163	-0.85693
"383"	31	22	"girl"	"manual"	"31"	-0.21688	-0.58831
"384"	30	18	"boy"	"nonmanual"	"31"	-0.37163	-1.10483
"385"	33	14	"boy"	"manual"	"31"	0.162541	-1.52304
"386"	35	13	"boy"	"manual"	"31"	0.516121	-1.67769
"387"	35	27	"boy"	"manual"	"31"	0.516121	0.072369
"388"	37	26	"boy"	"manual"	"31"	1.061502	-0.04477
"389"	40	33	"boy"	"nonmanual"	"31"	2.429734	0.988715
"390"	30	28	"boy"	"manual"	"31"	-0.37163	0.19052
"391"	39	34	"girl"	"nonmanual"	"31"	1.802743	1.170603
"392"	40	38	"girl"	"nonmanual"	"31"	2.429734	1.964686
"393"	38	35	"girl"	"nonmanual"	"31"	1.411941	1.340924
"394"	40	36	"girl"	"nonmanual"	"31"	2.429734	1.551093
"395"	40	40	"boy"	"nonmanual"	"31"	2.429734	2.589361
"396"	36	35	"boy"	"nonmanual"	"31"	0.743105	1.340924
"397"	39	37	"boy"	"nonmanual"	"31"	1.802743	1.794068
"398"	40	40	"boy"	"nonmanual"	"31"	2.429734	2.589361
"399"	33	33	"boy"	"nonmanual"	"31"	0.162541	0.988715
"400"	36	30	"girl"	"manual"	"31"	0.743105	0.454143
"401"	33	24	"girl"	"nonmanual"	"31"	0.162541	-0.3277
"402"	35	22	"girl"	"manual"	"31"	0.516121	-0.58831
"403"	22	20	"girl"	"manual"	"32"	-1.17746	-0.85693
"404"	36	33	"girl"	"nonmanual"	"32"	0.743105	0.988715
"405"	32	24	"girl"	"manual"	"32"	-0.04132	-0.3277
"406"	34	32	"girl"	"nonmanual"	"32"	0.340451	0.817817
"407"	34	21	"girl"	"nonmanual"	"32"	0.340451	-0.72731
"408"	32	29	"girl"	"nonmanual"	"32"	-0.04132	0.315018
